"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
6.29694942418146e-40,0.952236680851641,0.55,0.204,3.43133368022496e-35,"0","MXRA7",0.346
9.98269964456639e-40,0.665918292897115,0.833,0.524,5.43977269031712e-35,"0","EEF1B2",0.309
1.28591098985787e-39,1.50094602661964,0.333,0.085,7.0071861659335e-35,"0","ABHD5",0.248
1.3324503805666e-39,0.539479855381832,0.97,0.829,7.26078861378349e-35,"0","AEBP1",0.141
1.47962509585336e-39,1.6328579070818,0.371,0.093,8.06277307232412e-35,"0","MAPKAPK2",0.278
1.71884616661617e-39,2.11719962453305,0.302,0.066,9.36633653112484e-35,"0","EGR3",0.236
2.56538766052953e-39,0.867537125904049,0.839,0.561,1.39793104397575e-34,"0","WNT5A",0.278
2.70231389849621e-39,1.12454980870696,0.458,0.15,1.47254488956855e-34,"0","MXD4",0.308
3.2041922397873e-39,1.87233476967001,0.332,0.073,1.7460284353049e-34,"0","LDLR",0.259
5.92153369743241e-39,1.78626233862234,0.272,0.059,3.22676214240487e-34,"0","ZBTB21",0.213
7.56715843179619e-39,0.885444456812506,0.49,0.185,4.12349597265438e-34,"0","RPL22L1",0.305
7.7298190531491e-39,0.85403779881355,0.728,0.344,4.21213299844201e-34,"0","PRRC2C",0.384
9.22551318278302e-39,1.06189607553144,0.499,0.192,5.02716664356212e-34,"0","PIM3",0.307
1.02274246565246e-38,0.705804576523986,0.626,0.297,5.57312824383336e-34,"0","SF1",0.329
1.17412100865008e-38,0.854125663446851,0.554,0.237,6.398020200336e-34,"0","LIMS1",0.317
1.46538767465606e-38,0.93612733997782,0.398,0.14,7.98519051673578e-34,"0","ZBTB7A",0.258
1.5046011987763e-38,1.74730278514874,0.306,0.08,8.19887285237182e-34,"0","TMEM158",0.226
1.51916179071796e-38,0.846320954821942,0.66,0.329,8.27821642998029e-34,"0","LMO4",0.331
1.67698867570808e-38,0.880548969828152,0.594,0.288,9.1382466916685e-34,"0","VCAM1",0.306
1.81990477478933e-38,1.43455712163325,0.383,0.104,9.917025098782e-34,"0","NFKB1",0.279
2.81364542746625e-38,0.899591829918792,0.573,0.246,1.53321166633491e-33,"0","SGIP1",0.327
4.98496004292094e-38,0.938603311247147,0.413,0.146,2.71640442658848e-33,"0","MIR22HG",0.267
8.28591112313763e-38,1.05988578034294,0.498,0.211,4.51515868922016e-33,"0","BHLHE40",0.287
1.003503453028e-37,1.60150086320593,0.297,0.07,5.46829101624017e-33,"0","FADS3",0.227
1.49664069864606e-37,0.495837628124453,0.947,0.805,8.15549449506212e-33,"0","NACA",0.142
2.18442531061273e-37,1.66144377460626,0.288,0.067,1.19033704025909e-32,"0","NEDD4",0.221
2.56381238624076e-37,0.892719724527776,0.494,0.188,1.39707264551032e-32,"0","TSPAN9",0.306
2.70945883180172e-37,1.02967717188814,0.357,0.118,1.47643830662539e-32,"0","ABL1",0.239
2.95825054358514e-37,0.989324401190872,0.447,0.153,1.61200988621041e-32,"0","ITPRIPL2",0.294
3.65338354706236e-37,0.998030263248705,0.369,0.116,1.99080176246522e-32,"0","TUBA1C",0.253
4.01939164104894e-37,0.850829175250111,0.565,0.217,2.19024689304039e-32,"0","AES",0.348
6.12188659560961e-37,0.739881119400381,0.861,0.563,3.33593844367959e-32,"0","HSPA8",0.298
6.29253261366016e-37,1.01789319925442,0.369,0.117,3.42892687183569e-32,"0","PDXK",0.252
6.80010915077457e-37,0.651184913487727,0.888,0.606,3.70551547844008e-32,"0","HSP90B1",0.282
1.07005726982576e-36,1.24988282329371,0.411,0.126,5.83095607473453e-32,"0","SAMD4B",0.285
1.26381478770186e-36,0.750486154047713,0.446,0.181,6.88677954114499e-32,"0","ACTN4",0.265
1.37169537924052e-36,0.819798267330631,0.536,0.208,7.47464246055744e-32,"0","GTF2I",0.328
1.54317397870913e-36,0.270916439346324,0.861,0.604,8.40906364478179e-32,"0","COL12A1",0.257
1.88804620066919e-36,1.15426986807729,0.351,0.112,1.02883413566865e-31,"0","POLR2A",0.239
2.0927943486619e-36,1.03794669587801,0.458,0.178,1.14040549647284e-31,"0","PARP14",0.28
2.39597865708518e-36,0.914908024625682,0.378,0.127,1.30561668981886e-31,"0","BOC",0.251
2.43207712524033e-36,1.36473848917363,0.286,0.07,1.32528746708596e-31,"0","PLEKHM2",0.216
3.69198322470819e-36,0.806643813681878,0.604,0.281,2.01183549880799e-31,"0","ACTN1",0.323
3.9189431464644e-36,1.08357542261617,0.503,0.177,2.13551049937138e-31,"0","SLCO3A1",0.326
4.00640892716985e-36,0.650194517287085,0.876,0.584,2.18317235259339e-31,"0","CALR",0.292
5.0408512782785e-36,1.0076750594031,0.364,0.116,2.74686067855952e-31,"0","ST5",0.248
5.78587084096858e-36,0.732694160890244,0.792,0.452,3.1528367386606e-31,"0","FUS",0.34
5.81624863257013e-36,1.26549687621957,0.448,0.194,3.16939020486012e-31,"0","FST",0.254
6.27449844605736e-36,1.4258994606552,0.286,0.074,3.41909969322558e-31,"0","SIK3",0.212
7.00822418518033e-36,0.665724656201089,0.554,0.258,3.81892152298847e-31,"0","GOLGA4",0.296
1.02144245091799e-35,0.591793193389406,0.653,0.338,5.56604420354229e-31,"0","RBMS1",0.315
1.05612693899389e-35,0.669813846513252,0.751,0.436,5.7550469159655e-31,"0","TPM2",0.315
1.3484843390597e-35,1.24127329468547,0.422,0.146,7.34816086040409e-31,"0","FAT4",0.276
1.35643877938097e-35,1.71395299614834,0.355,0.099,7.39150619660278e-31,"0","CCDC71L",0.256
1.87435884375642e-35,0.895938923632879,0.348,0.111,1.02137562113975e-30,"0","RELB",0.237
1.95740423247455e-35,0.839399041479638,0.821,0.511,1.06662871436003e-30,"0","RND3",0.31
2.03530969880428e-35,0.864586359108144,0.557,0.251,1.10908096107243e-30,"0","BRD2",0.306
2.07011060237656e-35,0.799818224431732,0.438,0.166,1.12804466944703e-30,"0","SEC61A1",0.272
2.24301001188263e-35,1.40681841345168,0.288,0.08,1.22226101567508e-30,"0","PPIF",0.208
3.18848281330748e-35,0.994905596742228,0.395,0.14,1.73746805462751e-30,"0","CSRNP1",0.255
3.31441351657402e-35,1.09937932639587,0.332,0.105,1.80609021345152e-30,"0","CPEB4",0.227
3.39608345525948e-35,1.0797824681806,0.531,0.207,1.85059379643999e-30,"0","MAP4K4",0.324
4.20489978861319e-35,0.896260437613528,0.488,0.183,2.2913339928111e-30,"0","NASP",0.305
4.90594859745608e-35,1.25103557283227,0.363,0.107,2.67334950972577e-30,"0","PPP1R10",0.256
5.46942242007252e-35,0.835399666410024,0.629,0.309,2.98039766514592e-30,"0","OSBPL8",0.32
5.8455491790632e-35,0.59138100589393,0.805,0.514,3.18535665865512e-30,"0","ARID5B",0.291
7.00639983364891e-35,2.03712183873185,0.223,0.04,3.81792739735197e-30,"0","NFATC1",0.183
8.19768345280203e-35,0.465820650541652,0.999,0.998,4.46708166710088e-30,"0","MT-CO1",0.001
9.74563325638199e-35,1.1719509151544,0.337,0.099,5.31059047406768e-30,"0","ST3GAL1",0.238
1.12127072687371e-34,1.2676838379385,0.395,0.139,6.11002844488024e-30,"0","HSPH1",0.256
1.22901769036644e-34,1.2605582293482,0.324,0.095,6.69716319834478e-30,"0","SPATA13",0.229
1.24815314186043e-34,1.31836764565517,0.334,0.088,6.80143610062586e-30,"0","NID2",0.246
1.29091509276935e-34,0.903789404956729,0.597,0.273,7.03445452351873e-30,"0","SVIL",0.324
1.42902454063472e-34,1.40534419912132,0.365,0.115,7.7870405268267e-30,"0","SLC5A3",0.25
1.66149678684195e-34,1.10828151491717,0.322,0.103,9.05382829085914e-30,"0","ING1",0.219
1.67379951700221e-34,0.970747270947412,0.467,0.179,9.12086832804846e-30,"0","RAI14",0.288
1.68975644892219e-34,1.25386941869923,0.392,0.144,9.20782084146679e-30,"0","BMP2",0.248
2.14823759549032e-34,0.611686424157011,0.698,0.395,1.17061763053458e-29,"0","DDX3X",0.303
2.39420177479573e-34,0.707851755165759,0.605,0.285,1.30464843112169e-29,"0","EIF3A",0.32
2.56784042646581e-34,0.828909200390537,0.687,0.363,1.39926760518975e-29,"0","F2R",0.324
2.64071061846147e-34,0.76026008239256,0.406,0.158,1.43897603021203e-29,"0","TGFB1",0.248
2.70125667013419e-34,1.20339428234939,0.286,0.082,1.47196878468952e-29,"0","KAZN",0.204
3.13693969878946e-34,1.51181940494466,0.366,0.117,1.70938118066435e-29,"0","LBP",0.249
3.34291285338704e-34,0.535389175044628,0.659,0.361,1.82162007206767e-29,"0","RAB13",0.298
3.52313069971117e-34,0.860443167778795,0.59,0.31,1.91982438088661e-29,"0","DNAJB1",0.28
